Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 81 milliseconds, 812712 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 85 milliseconds, 854579 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 78 milliseconds, 784648 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 86 milliseconds, 869966 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 84 milliseconds, 841995 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 77 milliseconds, 770991 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 80 milliseconds, 804442 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 74 milliseconds, 740067 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 75 milliseconds, 756070 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 77 milliseconds, 774699 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 81 milliseconds, 819529 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 76 milliseconds, 767165 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 85 milliseconds, 851239 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 83 milliseconds, 832562 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 96 milliseconds, 966712 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 94 milliseconds, 949506 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 94 milliseconds, 948875 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 88 milliseconds, 881371 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 90 milliseconds, 901525 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 93 milliseconds, 936638 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 85 milliseconds, 853468 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 93 milliseconds, 932898 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 102 milliseconds, 1021201 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 89 milliseconds, 896815 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 112 milliseconds, 1125444 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 99 milliseconds, 993522 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 81 milliseconds, 813213 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 97 milliseconds, 975068 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 83 milliseconds, 834530 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 86 milliseconds, 866930 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 82 milliseconds, 829757 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 89 milliseconds, 892712 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 90 milliseconds, 905510 ticks
