Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 330853 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 309224 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 343817 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 28 milliseconds, 288507 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 305354 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 306186 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 299042 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 300731 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 313454 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 307351 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 318774 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 311929 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 62 milliseconds, 622286 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 341961 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 312251 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 35 milliseconds, 353118 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 348939 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 349637 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 315522 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 346906 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 333973 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 323531 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 311616 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 330663 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 325743 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 302563 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 36 milliseconds, 361324 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 310329 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 345888 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 319687 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 315417 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 331977 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 315209 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 294196 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 291504 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 290031 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 28 milliseconds, 289677 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 52 milliseconds, 528486 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 329539 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 308491 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 311056 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 296616 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 27 milliseconds, 272464 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 296787 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 311487 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 346242 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 46 milliseconds, 462161 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 38 milliseconds, 384563 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 36 milliseconds, 361790 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 35 milliseconds, 356203 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 349764 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 319185 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 302384 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 302994 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 308479 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 39 milliseconds, 394225 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 320750 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 327177 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 349974 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 346343 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 341089 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 43 milliseconds, 434034 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 38 milliseconds, 386674 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 342150 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 301898 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 28 milliseconds, 288380 ticks
